
"MU 400","01","2055","Ind","","000576","","","","Spiller, W","","","10","0","0","0",""
"MU 400","02","2062","Ind","","000576","","","","Arrivee, D","","","10","0","0","0",""
"MU 400","03","2056","Ind","","000576","","","","Barata, A","","","10","0","0","0",""
"MU 400","04","2059","Ind","","000576","","","","Brammeier, M","","","10","0","0","0",""
"MU 400","05","2057","Ind","","000576","","","","Glysson, S","","","10","0","0","0",""
"MU 400","06","2058","Ind","","000576","","","","D'Avignon, I","","","10","0","0","0",""
"MU 400 /0","07","2060","Ind","","000576","","","","","","","10","0","0","0",""
"MU 400","08","2061","Ind","","000576","","","","McLamore, L","","","10","0","0","0",""
"MU 400","09","2558","Ind","","000576","","","","Rinzler, P","","","10","0","0","0",""
"MU 400","10","2559","Ind","","000576","","","","Woodruff, C","","","10","0","0","0",""
